,fit_time,score_time,test_score,train_score
0,34.59403920173645,0.02977132797241211,-0.08965647414118535,-0.09463923363692134
1,34.59474754333496,0.030725955963134766,-0.0948471121177803,-0.09423811995658535
2,1.4348597526550293,0.022837400436401367,-0.08871272178180445,-0.09428530980133075
3,1.478991985321045,0.024028539657592773,-0.09550773876934693,-0.0927752347694776
4,1.4796979427337646,0.021360158920288086,-0.09362023405058513,-0.09357746213014959
5,1.4724550247192383,0.02195000648498535,-0.08795771989429974,-0.09268085507998679
6,1.5538876056671143,0.04387164115905762,-0.09324273310683277,-0.09454485394743051
7,1.6042790412902832,0.019860029220581055,-0.09135522838807097,-0.09355386720777689
8,1.5023415088653564,0.02276921272277832,-0.09805587013967534,-0.09263366523524137
9,1.6617686748504639,0.022379159927368164,-0.09144960362400906,-0.09338870275116795
10,1.4289824962615967,0.021146297454833984,-0.09418648546621367,-0.09324713321693172
11,1.5235748291015625,0.020180463790893555,-0.09503586258965648,-0.09225614647727809
12,1.3941550254821777,0.02152085304260254,-0.09248773121932805,-0.09289320938134113
13,1.5214829444885254,0.02070927619934082,-0.09220460551151378,-0.09159548865084234
14,1.3842103481292725,0.02105259895324707,-0.09720649301623253,-0.09305837383795007
15,1.4912796020507812,0.020587682723999023,-0.09446961117402794,-0.09258647539049597
16,1.4732367992401123,0.0224153995513916,-0.096640241600604,-0.09286961445896844
17,1.492163896560669,0.021213531494140625,-0.09616836542091355,-0.09209098202066915
18,1.5641710758209229,0.020825862884521484,-0.09192147980369951,-0.09433249964607617
19,1.5382745265960693,0.021300792694091797,-0.08673084182710457,-0.0931527535274409
20,1.4337880611419678,0.02072453498840332,-0.09654586636466592,-0.09131234958236988
21,1.5075650215148926,0.021759510040283203,-0.09503586258965648,-0.09414374026709452
22,1.4111099243164062,0.020729780197143555,-0.08975084937712344,-0.09416733518946722
23,1.506901741027832,0.02122950553894043,-0.09267648169120422,-0.09395498088811288
24,1.4269840717315674,0.028934478759765625,-0.09682899207248018,-0.09355386720777689
25,1.4932172298431396,0.0217437744140625,-0.09277085692714232,-0.09310556368269549
26,1.434885025024414,0.020112037658691406,-0.09456398640996602,-0.09348308244065877
27,1.5420453548431396,0.020800352096557617,-0.09277085692714232,-0.09242131093388703
28,1.4158034324645996,0.02226400375366211,-0.09541336353340883,-0.09336510782879524
29,1.0834946632385254,0.016424179077148438,-0.09343148357870895,-0.09258647539049597
