,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__booster,param_classifier__eta,param_classifier__gamma,param_classifier__max_depth,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,16.13932559490204,16.06784358654697,0.012239813804626465,0.0008762248690094605,gbtree,0.0001,0.00025,5,50,"{'classifier__booster': 'gbtree', 'classifier__eta': 0.0001, 'classifier__gamma': 0.00025, 'classifier__max_depth': 5, 'classifier__n_estimators': 50}",0.8662885060854382,0.8593324827592944,0.8243292481278786,0.8957390730397318,0.7197090371228498,0.8416681024703032,0.8362934360037796,0.46810170371595067,0.8134486128260228,0.8169841260932955,0.7941894328244545,0.11724361511140327,319
1,4.492868208885193,0.035195334916293154,0.013132452964782715,0.0006954287364644599,gbtree,0.0001,0.00025,5,75,"{'classifier__booster': 'gbtree', 'classifier__eta': 0.0001, 'classifier__gamma': 0.00025, 'classifier__max_depth': 5, 'classifier__n_estimators': 75}",0.8828376798684374,0.8780358653599197,0.8230612045981638,0.8926588840546512,0.7015019575597865,0.841504234002269,0.8385542978655783,0.45159118060874287,0.8117564097031418,0.8367785704161272,0.7958280284036817,0.1255729244301385,310
2,6.146051836013794,0.12381669793884943,0.014902758598327636,0.0007900707093175773,gbtree,0.0001,0.00025,5,100,"{'classifier__booster': 'gbtree', 'classifier__eta': 0.0001, 'classifier__gamma': 0.00025, 'classifier__max_depth': 5, 'classifier__n_estimators': 100}",0.884483394253733,0.8797619912664736,0.8262024725985976,0.8847833544033196,0.6900643875579372,0.8369200664955883,0.8409694787643587,0.4448125389049275,0.8121169162081017,0.8507880065270677,0.7950902606980105,0.12850873615333452,313
3,8.062921929359437,0.1186805780019326,0.01654534339904785,0.0007429467674967879,gbtree,0.0001,0.00025,5,125,"{'classifier__booster': 'gbtree', 'classifier__eta': 0.0001, 'classifier__gamma': 0.00025, 'classifier__max_depth': 5, 'classifier__n_estimators': 125}",0.8921169118498494,0.8820610087106376,0.8275084484451275,0.8774167561897314,0.6955192605038868,0.7874942765618702,0.8413903451291821,0.4463718583815215,0.8121673321237142,0.842567276015341,0.7904613473910862,0.12682996599992274,337
4,9.918070435523987,0.13477663223866052,0.018277454376220702,0.0008949219189436274,gbtree,0.0001,0.00025,5,150,"{'classifier__booster': 'gbtree', 'classifier__eta': 0.0001, 'classifier__gamma': 0.00025, 'classifier__max_depth': 5, 'classifier__n_estimators': 150}",0.8859924599050746,0.8830181104350274,0.8286333400537654,0.8794615979367014,0.6903704104358573,0.7889395641066398,0.8417648661560315,0.4564046511153253,0.8136042685342613,0.8458242515258949,0.7914013520204579,0.12446258159779702,325
5,4.0702975511550905,0.08457822567625484,0.013597941398620606,0.0009825098108694596,gbtree,0.0001,0.00025,6,50,"{'classifier__booster': 'gbtree', 'classifier__eta': 0.0001, 'classifier__gamma': 0.00025, 'classifier__max_depth': 6, 'classifier__n_estimators': 50}",0.9116679839648559,0.9106129566930364,0.8321843648934086,0.8943408264641242,0.8614699235950889,0.8116387347044404,0.876305499459281,0.8305745263293803,0.8201897432799035,0.8839204923276395,0.8632905051711159,0.03564509305788247,292
6,6.2312877655029295,0.5781678529941602,0.016515040397644044,0.002490270181013992,gbtree,0.0001,0.00025,6,75,"{'classifier__booster': 'gbtree', 'classifier__eta': 0.0001, 'classifier__gamma': 0.00025, 'classifier__max_depth': 6, 'classifier__n_estimators': 75}",0.9107306306291597,0.9167933043684966,0.8323879921530972,0.9008183061960694,0.8744132831578496,0.8051852055432657,0.8733092847623235,0.8373994940269144,0.8183025823079201,0.9195626530045712,0.8688902736149668,0.0407725059110498,283
7,10.463225531578065,0.2314464241415663,0.022133946418762207,0.0007394920131184626,gbtree,0.0001,0.00025,6,100,"{'classifier__booster': 'gbtree', 'classifier__eta': 0.0001, 'classifier__gamma': 0.00025, 'classifier__max_depth': 6, 'classifier__n_estimators': 100}",0.9103452855634312,0.9179327673500384,0.8295809499170493,0.9020907287585933,0.8785667374223616,0.8010456582929131,0.8831725805888817,0.8481025736361387,0.8183025823079201,0.9232991900261734,0.87124390538635,0.041914036757773304,274
8,12.822442364692687,0.2968620455971608,0.023652172088623045,0.0010263246653741264,gbtree,0.0001,0.00025,6,125,"{'classifier__booster': 'gbtree', 'classifier__eta': 0.0001, 'classifier__gamma': 0.00025, 'classifier__max_depth': 6, 'classifier__n_estimators': 125}",0.9211546962049866,0.9183141443922919,0.8440225479999983,0.8868159567179338,0.8804490655999636,0.8010456582929131,0.8833967149643683,0.8507045284299207,0.8185311019981112,0.9221785367383835,0.8726612951338872,0.04077395927776083,265
9,15.000026774406432,0.7188217803236618,0.02424483299255371,0.0028775401285176527,gbtree,0.0001,0.00025,6,150,"{'classifier__booster': 'gbtree', 'classifier__eta': 0.0001, 'classifier__gamma': 0.00025, 'classifier__max_depth': 6, 'classifier__n_estimators': 150}",0.9201877950983279,0.9177666537960499,0.8447706412949625,0.8885073862410692,0.8752003783596309,0.8031318203985315,0.8871392269120899,0.8551271400417211,0.8184592905806957,0.9225526783886795,0.8732843011111757,0.04012882594097129,259
